snp_index,position_bp,snp_index_qc,snp_index_pruned
0,528.0,0,0
1,819.0,1,1
2,1356.0,2,2
3,1404.0,3,3
4,1698.0,4,4
6,1952.0,6,5
7,2117.0,7,6
9,3106.0,9,7
12,4136.0,12,8
13,4164.0,13,9
16,5681.0,15,10
20,8313.0,17,11
21,8455.0,18,12
23,8852.0,20,13
26,11756.0,22,14
31,12663.0,26,15
32,12856.0,27,16
36,13514.0,31,17
37,14941.0,32,18
41,16488.0,36,19
44,17606.0,39,20
53,20341.0,47,21
56,21351.0,50,22
74,25011.0,67,23
78,25890.0,71,24
83,27953.0,75,25
86,30720.0,78,26
89,31595.0,81,27
95,36034.0,87,28
97,38900.0,89,29
100,40447.0,92,30
105,41796.0,97,31
109,45090.0,100,32
115,46790.0,106,33
124,48753.0,115,34
128,50393.0,118,35
129,50483.0,119,36
138,52952.0,127,37
139,53275.0,128,38
141,53589.0,130,39
160,59645.0,144,40
166,60602.0,149,41
170,63157.0,153,42
180,66747.0,161,43
187,69227.0,167,44
197,73966.0,177,45
199,74260.0,179,46
200,74366.0,180,47
202,75197.0,182,48
210,77901.0,188,49
217,83021.0,195,50
219,83595.0,196,51
220,83651.0,197,52
227,88105.0,203,53
243,92413.0,215,54
245,93094.0,217,55
252,98191.0,224,56
259,101995.0,230,57
266,105765.0,235,58
270,107598.0,239,59
276,109728.0,245,60
287,114772.0,255,61
289,115602.0,257,62
291,116612.0,258,63
294,117726.0,261,64
300,121701.0,266,65
307,124011.0,272,66
310,125203.0,274,67
313,126397.0,276,68
319,128152.0,280,69
320,128308.0,281,70
329,132049.0,286,71
330,132777.0,287,72
332,133190.0,289,73
333,133746.0,290,74
338,134936.0,294,75
353,138346.0,306,76
359,140637.0,312,77
368,143331.0,320,78
370,143450.0,322,79
377,145041.0,328,80
386,149935.0,334,81
387,150302.0,335,82
389,151064.0,337,83
393,153135.0,341,84
403,160934.0,349,85
410,165276.0,354,86
415,166639.0,357,87
424,169693.0,363,88
427,170627.0,365,89
430,172109.0,367,90
433,172246.0,370,91
448,178574.0,384,92
